1,8
2,8
3,8
6,10
12,10
13,8
14,8
15,8
16,10
17,10
18,10
21,10
22,10
31,9
34,9
39,18
40,18
41,10
42,10
43,8
44,8
45,8
46,5
47,5
48,8
49,8
62,7
69,8
70,8
71,8
72,8
73,8
74,9
75,9
76,9
79,11
80,11
81,17
82,17
83,10
84,10
85,10
87,6
91,6
92,8
93,8
94,8
95,9
102,11
103,11
111,13
112,13
121,11
122,18
123,10
124,11
130,10
131,6
138,3
139,3
140,3
141,3
142,10
144,10
145,10
146,10
149,10
163,10
164,10
165,10
166,10
167,8
168,8
169,10
170,4
171,4
174,18
176,10
177,10
178,10
183,18
184,18
187,10
188,10
189,10
193,10
194,9
195,9
198,10
199,11
203,11
205,17
207,10
208,9
211,8
212,17
213,13
214,7
215,6
219,13
220,9
221,9
222,13
225,10
226,10
227,10
228,2
229,2
230,15
238,11
246,9
247,9
248,16
249,10
250,10
251,5
256,7
257,7
259,9
260,9
267,10
269,8
270,5
271,5
272,5
274,16
275,16
276,10
277,10
278,10
279,10
280,18
281,18
282,18
283,3
284,10
286,7
290,9
291,10
292,14
298,18
302,14
303,18
304,13
305,13
306,13
307,11
308,11
315,8
318,16
319,16
322,9
323,9
329,15
330,15
332,16
333,10
334,10
337,11
338,11
339,9
340,9
342,16
343,11
344,11
345,5
346,5
347,12
348,12
357,10
363,3
364,3
365,3
369,13
373,10
374,11
375,11
376,11
380,11
381,11
384,10
385,11
389,9
391,7
392,7
395,17
396,10
397,10
398,10
400,3
406,8
407,8
410,17
411,17
413,5
414,10
415,10
416,10
423,9
425,10
426,10
430,10
434,16
435,16
436,11
437,11
439,18
441,10
442,16
443,9
444,9
445,9
448,17
451,12
452,16
453,7
454,7
458,10
459,6
460,6
461,6
462,17
464,13
468,10
469,10
472,10
473,9
475,7
476,17
478,14
479,14
483,15
484,15
485,17
487,15
494,2
499,7
500,7
519,10
520,10
521,10
527,10
528,10
530,17
536,9
537,9
540,5
541,5
542,5
543,8
544,8
545,8
546,18
547,18
551,16
552,16
553,16
557,13
558,13
559,7
560,7
561,10
564,13
565,13
566,10
567,10
580,10
581,10
585,5
586,5
587,10
589,17
590,8
591,8
592,14
593,14
595,4
596,4
597,17
598,17
607,2
608,2
609,2
618,4
622,14
623,14
624,17
625,17
627,10
628,10
629,10
630,10
633,15
634,15
635,15
636,2
637,2
638,7
639,7
640,7
642,10
643,2
644,4
645,10
646,6
647,7
648,11
649,17
652,7
655,11
658,16
660,9
661,10
662,10
663,10
666,10
667,1
668,1
675,16
679,14
680,14
685,11
686,11
687,3
688,3
689,3
690,3
691,15
694,1
695,1
696,15
697,15
698,6
699,6
701,10
702,18
703,18
707,18
708,5
709,5
710,5
711,5
714,15
715,15
717,10
718,9
719,18
720,14
721,3
722,10
723,10
724,14
727,16
730,18
731,10
732,10
733,10
737,4
738,4
740,6
741,10
742,18
743,18
747,3
748,3
751,12
752,12
755,18
756,18
757,2
758,2
759,7
760,7
765,11
767,3
768,3
769,9
770,9
774,10
776,15
777,17
778,18
779,11
780,15
781,5
783,7
784,7
785,18
786,18
787,18
788,18
791,17
792,14
793,8
794,7
795,7
797,10
798,17
799,15
801,18
802,14
804,15
805,17
806,14
823,17
825,11
826,11
834,13
838,2
839,2
840,15
841,15
842,15
845,3
848,8
849,8
850,12
851,12
858,18
859,18
860,18
861,18
862,1
866,6
867,14
872,12
873,12
876,1
877,16
880,15
881,6
882,15
883,6
884,15
885,14
886,14
887,14
888,17
889,17
890,15
892,16
893,5
